Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
protein processing (GO:0016485)	1/106	0.4972819762114124	0.5423444167181403	0	0	1.4706845238095239	1.0274173511009626	HM13
regulation of cell cycle process (GO:0010564)	1/106	0.4972819762114124	0.5423444167181403	0	0	1.4706845238095239	1.0274173511009626	BUB1
cellular response to peptide hormone stimulus (GO:0071375)	1/106	0.4972819762114124	0.5423444167181403	0	0	1.4706845238095239	1.0274173511009626	SLC30A10
peptidyl-lysine modification (GO:0018205)	1/106	0.4972819762114124	0.5423444167181403	0	0	1.4706845238095239	1.0274173511009626	NUP93
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	1/106	0.4972819762114124	0.5423444167181403	0	0	1.4706845238095239	1.0274173511009626	IGF1R
positive regulation of protein serine/threonine kinase activity (GO:0071902)	1/106	0.4972819762114124	0.5423444167181403	0	0	1.4706845238095239	1.0274173511009626	CEMIP
protein localization to nucleus (GO:0034504)	1/106	0.4972819762114124	0.5423444167181403	0	0	1.4706845238095239	1.0274173511009626	NUP93
cellular component assembly (GO:0022607)	2/261	0.5036830819573972	0.5481132954355865	0	0	1.1924725625513026	0.8178072402687421	PLS3;FLNA
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	1/108	0.5037806024224141	0.5481132954355865	0	0	1.4430490654205608	0.9893752456255066	GREM1
DNA replication (GO:0006260)	1/108	0.5037806024224141	0.5481132954355865	0	0	1.4430490654205608	0.9893752456255066	TIMELESS
regulation of interleukin-6 production (GO:0032675)	1/110	0.5101958635854622	0.5537640658230077	0	0	1.416427752293578	0.9532000427663184	APP
response to endoplasmic reticulum stress (GO:0034976)	1/110	0.5101958635854622	0.5537640658230077	0	0	1.416427752293578	0.9532000427663184	CREB3L1
response to tumor necrosis factor (GO:0034612)	1/110	0.5101958635854622	0.5537640658230077	0	0	1.416427752293578	0.9532000427663184	MAP2K7
regulation of protein serine/threonine kinase activity (GO:0071900)	1/111	0.5133725644977685	0.5567676935541986	0	0	1.4034801136363637	0.9357752089193248	GTPBP4
protein-containing complex assembly (GO:0065003)	2/267	0.5158054154920497	0.5589604502543327	0	0	1.1651166245728717	0.7713371330966724	CTSZ;CDC73
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	1/113	0.5196647636925361	0.5622466814811847	0	0	1.3782784598214286	0.9021816066099595	EIF4G1
positive regulation of metabolic process (GO:0009893)	1/113	0.5196647636925361	0.5622466814811847	0	0	1.3782784598214286	0.9021816066099595	IGF1R
activation of protein kinase activity (GO:0032147)	1/114	0.5227805222844731	0.5633767910514133	0	0	1.3660121681415929	0.8859866875695485	TPX2
cellular response to transforming growth factor beta stimulus (GO:0071560)	1/114	0.5227805222844731	0.5633767910514133	0	0	1.3660121681415929	0.8859866875695485	ITGB1
positive regulation of cellular component organization (GO:0051130)	1/114	0.5227805222844731	0.5633767910514133	0	0	1.3660121681415929	0.8859866875695485	IGF1R
response to lipid (GO:0033993)	1/114	0.5227805222844731	0.5633767910514133	0	0	1.3660121681415929	0.8859866875695485	HNRNPA0
positive regulation of kinase activity (GO:0033674)	1/114	0.5227805222844731	0.5633767910514133	0	0	1.3660121681415929	0.8859866875695485	IGF1R
cellular response to lectin (GO:1990858)	1/115	0.5258762256571748	0.5653689066353816	0	0	1.3539610745614035	0.870176439262795	PSMD2
cellular response to molecule of bacterial origin (GO:0071219)	1/115	0.5258762256571748	0.5653689066353816	0	0	1.3539610745614035	0.870176439262795	CDC73
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	1/115	0.5258762256571748	0.5653689066353816	0	0	1.3539610745614035	0.870176439262795	PSMD2
regulation of protein-containing complex assembly (GO:0043254)	1/116	0.5289520020012113	0.5668831542329766	0	0	1.3421195652173914	0.8547390246795185	HJURP
ion transport (GO:0006811)	1/116	0.5289520020012113	0.5668831542329766	0	0	1.3421195652173914	0.8547390246795185	PANX1
sphingolipid metabolic process (GO:0006665)	1/116	0.5289520020012113	0.5668831542329766	0	0	1.3421195652173914	0.8547390246795185	SUMF2
tumor necrosis factor-mediated signaling pathway (GO:0033209)	1/116	0.5289520020012113	0.5668831542329766	0	0	1.3421195652173914	0.8547390246795185	PSMD2
positive regulation of cell projection organization (GO:0031346)	1/117	0.5320079784667046	0.5697093312714318	0	0	1.3304822198275863	0.8396630615911945	ARHGDIA
DNA metabolic process (GO:0006259)	2/277	0.535574376563651	0.5730772243324669	0	0	1.1221760916249106	0.7007041531167347	TOP2A;TIMELESS
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	1/119	0.5380610369752218	0.5752853854452057	0	0	1.3077992584745763	0.8105521056665533	PSMD2
cellular response to lipopolysaccharide (GO:0071222)	1/120	0.5410583696371282	0.5780356502014881	0	0	1.2967436974789917	0.7964964354302132	CDC73
epithelium development (GO:0060429)	1/122	0.5469952619843721	0.5839195889315119	0	0	1.275180785123967	0.7693358718848237	TIMELESS
regulation of anatomical structure morphogenesis (GO:0022603)	1/123	0.5499350674662344	0.5865974052973167	0	0	1.2646644467213115	0.7562125138167772	STAT2
fatty acid metabolic process (GO:0006631)	1/124	0.5528559417592942	0.5887894133066877	0	0	1.254319105691057	0.7433820199201372	CPT1B
regulation of tumor necrosis factor production (GO:0032680)	1/124	0.5528559417592942	0.5887894133066877	0	0	1.254319105691057	0.7433820199201372	APP
cellular response to oxidative stress (GO:0034599)	1/125	0.5557580058322841	0.5914169702127593	0	0	1.244140625	0.7308359733208819	GPX8
negative regulation of growth (GO:0045926)	1/126	0.5586413798154805	0.593556466053948	0	0	1.234125	0.7185662582518416	NOTCH2
synapse organization (GO:0050808)	1/126	0.5586413798154805	0.593556466053948	0	0	1.234125	0.7185662582518416	APP
plasma membrane bounded cell projection organization (GO:0120036)	1/128	0.5643525347793672	0.5991564772052611	0	0	1.2145669291338583	0.6948247862035939	APP
cellular response to insulin stimulus (GO:0032869)	1/129	0.5671805522987279	0.6012202269105766	0	0	1.20501708984375	0.6833381890906831	IGF1R
DNA-dependent DNA replication (GO:0006261)	1/129	0.5671805522987279	0.6012202269105766	0	0	1.20501708984375	0.6833381890906831	PSMD2
positive regulation of canonical Wnt signaling pathway (GO:0090263)	1/130	0.5699903529074454	0.603258272337841	0	0	1.1956153100775193	0.6720982202586978	PSMD2
G2/M transition of mitotic cell cycle (GO:0000086)	1/130	0.5699903529074454	0.603258272337841	0	0	1.1956153100775193	0.6720982202586978	CKAP5
cell cycle G2/M phase transition (GO:0044839)	1/131	0.5727820531517377	0.6052708564773608	0	0	1.186358173076923	0.6610980867446018	CKAP5
cellular response to hypoxia (GO:0071456)	1/131	0.5727820531517377	0.6052708564773608	0	0	1.186358173076923	0.6610980867446018	PSMD2
DNA repair (GO:0006281)	2/298	0.5752757523488525	0.6074340242192853	0	0	1.041444988295382	0.5758209575786987	TIMELESS;HUWE1
regulation of cell adhesion (GO:0030155)	1/133	0.57831161455909	0.6087490679569367	0	0	1.168264678030303	0.6397913072192183	ARHGDIA
regulation of cell motility (GO:2000145)	1/133	0.57831161455909	0.6087490679569367	0	0	1.168264678030303	0.6397913072192183	FLNA
