MIMAT0014879	mmu-miR-3085-3p
MIMAT0014880	mmu-miR-3086-5p
MIMAT0014881	mmu-miR-3086-3p
MIMAT0014882	mmu-miR-466m-5p
MIMAT0014883	mmu-miR-466m-3p
MIMAT0014884	mmu-miR-669d-2-3p
MIMAT0014885	mmu-miR-466o-5p
MIMAT0014886	mmu-miR-466o-3p
MIMAT0014889	mmu-miR-669p-5p
MIMAT0014891	mmu-miR-466p-5p
MIMAT0014892	mmu-miR-466p-3p
MIMAT0014893	mmu-miR-466n-5p
MIMAT0014894	mmu-miR-466n-3p
MIMAT0014896	mmu-miR-3087-3p
MIMAT0014898	mmu-miR-3088-3p
MIMAT0014899	mmu-miR-3089-5p
MIMAT0014900	mmu-miR-3089-3p
MIMAT0014902	mmu-miR-3090-3p
MIMAT0014903	mmu-miR-3091-5p
MIMAT0014904	mmu-miR-3091-3p
MIMAT0014906	mmu-miR-3092-3p
MIMAT0014907	mmu-miR-3093-5p
MIMAT0014908	mmu-miR-3093-3p
MIMAT0014909	mmu-miR-3094-5p
MIMAT0014911	mmu-miR-3095-5p
MIMAT0014912	mmu-miR-3095-3p
MIMAT0014915	mmu-miR-3097-5p
MIMAT0014916	mmu-miR-3097-3p
MIMAT0014917	mmu-miR-3098-5p
MIMAT0014918	mmu-miR-3098-3p
MIMAT0014919	mmu-miR-3100-5p
MIMAT0014920	mmu-miR-3100-3p
MIMAT0014921	mmu-miR-3101-5p
MIMAT0014922	mmu-miR-3101-3p
MIMAT0014924	mmu-miR-344e-3p
MIMAT0014925	mmu-miR-344b-5p
MIMAT0014926	mmu-miR-344b-3p
MIMAT0014927	mmu-miR-344c-5p
MIMAT0014928	mmu-miR-344c-3p
MIMAT0014929	mmu-miR-344g-5p
MIMAT0014930	mmu-miR-344g-3p
MIMAT0014931	mmu-miR-344f-5p
MIMAT0014932	mmu-miR-344f-3p
MIMAT0014934	mmu-miR-3102-5p.2-5p
MIMAT0014935	mmu-miR-3102-3p.2-3p
MIMAT0014936	mmu-miR-3102-3p
MIMAT0014938	mmu-miR-3103-3p
MIMAT0014939	mmu-miR-3104-5p
MIMAT0014940	mmu-miR-3104-3p
MIMAT0014941	mmu-miR-3105-5p
MIMAT0014942	mmu-miR-3105-3p
MIMAT0014943	mmu-miR-486b-5p
MIMAT0014947	mmu-miR-3108-5p
MIMAT0014949	mmu-miR-3109-5p
MIMAT0014950	mmu-miR-3109-3p
MIMAT0014951	mmu-miR-3110-5p
MIMAT0014953	mmu-miR-374c-5p
MIMAT0014955	mmu-miR-3112-5p
MIMAT0014958	mmu-miR-1912-3p
MIMAT0014959	mmu-miR-3113-5p
MIMAT0015645	mmu-miR-3473a
MIMAT0016984	mmu-miR-132-5p
MIMAT0016988	mmu-miR-144-5p
MIMAT0016990	mmu-miR-149-3p
MIMAT0016992	mmu-miR-153-5p
MIMAT0016994	mmu-miR-129-1-3p
MIMAT0017014	mmu-miR-208a-5p
MIMAT0017032	mmu-miR-329-5p
MIMAT0017038	mmu-miR-344-5p
MIMAT0017039	mmu-miR-346-3p
MIMAT0017040	mmu-miR-350-5p
MIMAT0017053	mmu-miR-212-5p
MIMAT0017068	mmu-miR-181c-3p
MIMAT0017076	mmu-miR-363-5p
MIMAT0017079	mmu-miR-377-5p
MIMAT0017080	mmu-miR-379-3p
MIMAT0017173	mmu-miR-412-5p
MIMAT0017174	mmu-miR-370-5p
MIMAT0017176	mmu-miR-448-5p
MIMAT0017182	mmu-miR-450a-1-3p
MIMAT0017194	mmu-miR-452-3p
MIMAT0017195	mmu-miR-471-3p
MIMAT0017208	mmu-miR-539-3p
MIMAT0017237	mmu-miR-668-5p
MIMAT0017240	mmu-miR-802-3p
MIMAT0017242	mmu-miR-670-3p
MIMAT0017243	mmu-miR-669a-3p
MIMAT0017245	mmu-miR-760-5p
MIMAT0017248	mmu-miR-679-3p
MIMAT0017250	mmu-miR-669b-3p
MIMAT0017251	mmu-miR-669a-3-3p
MIMAT0017256	mmu-miR-700-5p
MIMAT0017258	mmu-miR-500-5p
MIMAT0017259	mmu-miR-505-5p
MIMAT0017261	mmu-miR-490-5p
MIMAT0017263	mmu-miR-743a-5p
MIMAT0017265	mmu-miR-871-3p
