C1_H1	C1_H2	C1_H3	C1_N1	C1_N2	C1_N3	C2_H1	C2_H2	C2_H3	C2_N1	C2_N2	C2_N3	C3_H1	C3_H2	C3_H3	C3_N1	C3_N2	C3_N3
MIR4255	1.52208527381901	1.58666049215269	1.70343582352384	1.61820218515028	2.35933503523164	1.14243551510826	1.98493893122146	2.0366565069588	1.417501354103	1.41853423674934	2.21863072049341	1.73300771630548	1.70641983416119	2.07565774748725	1.85449736914347	1.20321732701064	1.79681913041003	1.57764634437654
LOC101929516	1.85960027586654	2.13954213568501	2.19837194297259	1.61663718421724	1.17415524819791	1.93909137295895	1.30808573882005	2.75638418517031	1.287180256105	1.63146973983485	1.59084877851407	1.6462360968363	1.27913720139409	1.10817353128067	1.50445225023915	1.05002944476246	1.22002190771093	1.56155391178532
MIR30E	0.921143729158959	1.471285054066	1.48325816880587	1.43844232988588	1.05296326112258	1.1518461890249	1.23412458458846	1.28540695784289	0.897519590705008	1.33174648828151	1.0760604053026	0.700508405942788	1.17428400847544	1.90640781340106	0.804036976081436	1.2135922697476	0.594726631302916	0.967358139434297
SLC2A1-AS1	3.51755028651495	3.13528106069789	3.29098440366402	2.94346383216228	2.8954624770894	3.03304903278276	3.28954205365187	2.84389064030239	2.95033485929924	2.89889595505531	3.08859379015838	2.54226625688941	3.70415845538332	2.87225730534899	2.78611513903388	2.6353179275319	2.29116342617838	2.62889575521754
MIR6735	3.95939394551855	3.33991976317162	4.53842992777209	2.93794779821751	3.56918129570839	3.67560260810394	4.08909449462779	4.22005929342486	3.74336032313825	3.93692427860652	3.66757606564583	3.88789914871585	3.71467411765404	3.49089689639044	3.57861104259932	3.49992880818754	4.39029789200609	3.66544062160734
LINC01144	3.39338402677404	3.55423717616834	3.52281972737738	3.58976673852835	3.66234938738865	3.48222804055758	3.49295553483197	2.99600322902442	3.21605883124261	3.03015708563737	2.91900716308398	3.44693329563388	3.51828870325491	2.87965576392893	3.17194997018064	3.15507276253049	2.99184823263131	2.61180984833231
LOC101929721	1.89065549895154	1.02646591424542	0.977803757302835	1.39803681426052	0.816497229768928	1.10285823015199	0.596529943766073	1.25728284328607	0.814430416399678	0.73164279691485	0.771954666204255	0.980749975861124	0.78633664711403	1.54107975815953	1.68003600255047	1.01126864802833	0.952182485996999	0.673382600622497
MIR4421	1.29327838840617	0.870026751289927	0.834631170379856	0.804286261530028	1.97260952207298	1.31412623268012	1.58048289589867	0.914082610641663	0.762528843925151	1.00286480397357	0.730024702838288	1.38390670807326	0.986055801742237	0.863346932287828	1.42691216211171	0.974203532422877	0.923949798002473	1.09044212010412
MIR6500	1.95830998642395	1.14486217781938	1.7078527301346	1.88925060720701	1.60479890016186	1.81793145749421	1.20352733236075	1.26913831002987	2.34012285551256	2.10225316796583	1.37404494342213	1.60126163265422	1.1111107824669	2.57291703355534	2.61995458141469	1.09336243398053	2.12858678134639	1.91496293212028
TTC39A-AS1	3.46863325966708	3.57013970474805	3.66896618238592	3.39270613575129	3.46056387721498	3.8633515853318	3.48789860320939	3.70424852327792	3.68169446845102	3.30150910942099	3.72576989028292	3.51304075917623	3.83582892934365	3.18731128202591	3.16462478107686	3.39211819159206	3.08861093323047	3.28732627691609
LOC100507564	3.49382433469605	3.38732136193924	2.40328503098436	3.1851532873289	2.84122594355497	3.39297911323305	2.69402548344702	3.39224719744443	2.91642956791231	2.85977874410328	2.9910053002634	3.400834963152	2.99927579798146	2.89704097762915	2.91104690770801	3.24696979172082	3.16083763308712	2.9032800535656
LOC105378732	1.95615892056328	2.65994455656566	2.16764595366622	1.66865251651406	1.8686639372219	1.81352604845793	2.01471271701107	2.19573557466285	2.47422946016087	2.24723320778722	1.87402397497697	2.11236881956153	2.35710618869361	2.31302349044251	2.30201152091009	1.87818934808948	2.02540450464211	2.20126040441192
SSBP3-AS1	1.67568239728066	2.30788013941055	2.27182521522142	2.11917082248679	2.03908515492538	1.26714665752901	2.02473152882774	1.75527032222363	2.16199378091379	2.06854037534815	2.02241402531229	1.68659636428981	2.09064222821224	1.57596650553429	1.6796416820854	2.35563024550251	1.91434593570139	1.32355308469966
LOC100507634	2.36292951378966	2.10667710658894	2.36841998472908	2.53829062838779	2.15323555906008	2.07045657700444	1.92326369390409	2.05538542330217	1.96996049064517	1.67095311747404	1.71916714965137	2.98985899402801	1.93507832249901	1.95880808951577	2.580484738479	2.74783792465696	2.25570042474456	2.58414187867175
MIR4422	1.14788920087525	1.22019319310752	1.16181046945613	1.06481445338185	1.75988762215227	1.35819423838833	1.46633321221156	1.44357049353465	1.51800479355789	1.30629278883617	1.40146324882803	1.39960522832198	1.07209305834172	2.15833095968028	1.37438607507614	0.946994960718291	1.80650038715848	1.66279774102069
DAB1-AS1	1.49039968152363	1.83123894941809	1.60240470231658	1.79638758028961	2.22189679003378	1.65501525419719	2.27712023223797	1.59261520619854	1.27005481715894	1.81656568042264	1.51890176805168	1.57793404062916	1.91457635141745	1.59513463112863	1.98249720317398	2.32947145516167	1.76454709154594	1.90673522887477
LINC01135	2.96425157337842	3.58049909871434	3.33435111196796	3.34337149388555	3.16567577145152	2.2356573088289	2.93722224661899	2.26959893912107	2.12373223979277	2.16340535133087	2.78469899545276	2.86931006935548	3.02250528285559	2.7753932788367	2.65881455900602	2.67897330263282	2.52747807275145	2.57467763050809
LINC01358	2.80531129367355	1.9405990195711	1.94072429614104	2.72388219540285	1.84999517315878	3.10311348499924	1.65254538933117	2.10071900303325	2.39921982131241	1.2285884147586	2.14779012185358	1.54311400582452	1.74528897636602	1.51741604175734	2.10664111032658	1.97839249634022	1.56340464701531	1.49077327695225
