C1_H1	C1_H2	C1_H3	C1_N1	C1_N2	C1_N3	C2_H1	C2_H2	C2_H3	C2_N1	C2_N2	C2_N3	C3_H1	C3_H2	C3_H3	C3_N1	C3_N2	C3_N3
LOC102606465	1.50428314926576	1.04907960176537	0.87408608418596	0.920716268270084	1.57028539019171	2.1485794821298	1.20139732696115	1.18582604566417	1.05076678044133	0.960588966308199	1.61166548719132	1.32844828464737	1.43268847568009	1.24262449194678	1.07834879203691	1.21866418175081	2.00635226137468	1.5472425549557
LINC01307	1.8564990304993	1.87808516590584	2.16184161620519	1.33140028502826	2.00045699061603	1.5343732542717	1.93113022418446	2.33968795565374	1.93438055350897	1.92416357865137	1.29911181216397	2.70032438746938	1.29370228356538	1.51612026813701	1.7516792260885	1.96668394238545	1.95354219307989	1.46808627865446
DNAJA1P5	0.896065203706954	1.11761907894467	1.12437665536602	1.7850267633347	1.64795983094644	1.96161646421184	0.956161578321444	1.34770767811213	0.986931638891111	0.917117564491532	1.96983206400161	1.33360815030688	0.686072594612851	1.59228093640694	1.03116269536341	1.77961139631597	1.21346170171811	1.10624957036687
SCARNA2	5.12250539593298	4.79232493269847	4.99724803670841	4.60909062020597	4.79849180274307	4.48243450161011	4.23467601527928	4.73166100919898	4.74660714938006	4.28848874069585	4.37403781542427	4.7107697135903	4.76299236577106	4.88983893579931	4.63278271057925	4.76649201440054	4.49196075889634	5.16529780194025
CHIAP2	2.44424948042871	2.60072063579056	2.40619403976903	2.66483779778961	2.24527211007557	2.46454610501457	2.40835267296727	1.81111587891204	2.83839753610506	1.68295158271132	2.44863611798917	2.2452475171737	2.19173648773011	2.83727211085619	1.78332795889321	3.09123939177934	2.81156891953131	1.99821764823814
FAM212B-AS1	2.91599610688588	2.91214347694898	2.70436582154693	2.53329711675427	3.67948665537775	2.55274878971408	2.68424162743652	3.03786293064883	2.3899315356281	2.17892599177779	2.75368940410112	3.00207023170845	2.92565696125532	3.74317440556937	3.22607811282484	3.43675740186435	2.8262665137913	2.67257704264937
KCND3-AS1	3.52418488265526	4.16376206393809	3.78469167042365	3.44249503815419	4.30571795471827	4.20253056129017	3.26785241736852	3.9019112858714	3.98329266493607	4.13449640883218	3.53542398671014	3.77433713249751	4.72930448668702	3.70671537994823	3.80236614749854	4.1253393153721	3.79695368830098	3.87859711353251
SLC16A1-AS1	4.81489897196239	3.99931525784186	4.80080806474496	4.65951032874965	4.59691420028106	4.07517230353096	4.8121414966234	4.23686890782916	5.02157632046239	4.62767972740064	4.7795476040721	4.89815525859482	4.6224265147142	3.74722257744721	3.62920463402677	4.34674001996389	5.65308980510931	4.69280795888104
LINC01525	1.42577513741625	1.57379840120395	1.06447843775903	1.52307634196444	1.89761726792022	1.10336667316788	1.39942708693455	1.40156170247283	2.18537632075896	1.21330920567952	1.01830609894575	0.78154412715634	1.27874191016002	1.62318709642475	1.24294523399798	1.09033894368829	1.61228169340025	1.80089178082834
LOC101929147	4.10013257231943	4.21599896736395	4.75143491769484	4.62768294320076	4.39959406136694	4.02290163918996	4.18428107357961	3.52050324076218	3.66092733498577	3.29324264423453	3.91550561407863	3.5460202896908	3.50301263291426	3.25055672190547	3.24471088080492	3.63754407381497	4.07432118202524	3.70973324080562
