PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC1000010822.hg.1	NR_111911	LOC101928961	uncharacterized LOC101928961	0.101263903181732	1.01263128269067	0.853495790802257	0.398631850351762	0.87356256510858	-5.76679034449825
TC1000010824.hg.1	NR_106973	MIR7151	microRNA 7151	0.314799824271904	1.81438096168202	1.59394595757526	0.119076627035573	0.662390748275514	-4.91878925200935
TC1000010836.hg.1	NR_131184	POU5F1P5	POU class 5 homeobox 1 pseudogene 5	-0.00943494630109543	2.73582070650618	-0.0748335753107665	0.940732280983754	0.992850887757468	-6.11649707379822
TC1000010873.hg.1	NR_120648	LOC101928994	uncharacterized LOC101928994	-0.140978105599043	1.81208450103845	-1.28308487029818	0.207086580552458	0.761266347135394	-5.3323009119828
TC1000010939.hg.1	NR_038453	UNC5B-AS1	UNC5B antisense RNA 1	0.142087685013073	4.96464179911921	1.1663018138295	0.250623420244376	0.794423900151245	-5.4665881924744
TC1000010950.hg.1	NR_120672	LOC102723377	uncharacterized LOC102723377	0.226139403175305	3.36191817396465	2.17993947264622	0.0354047650814132	0.452281938239634	-3.9354379944948
TC1000011055.hg.1	NR_120673	LOC102723439	uncharacterized LOC102723439	-0.0603993927558715	1.70335990926235	-0.454558753163952	0.651963992259174	0.946780112844702	-6.0185628971741
TC1000011152.hg.1	NR_015429	ZMIZ1-AS1	ZMIZ1 antisense RNA 1	0.0781797862307076	2.96951716074249	0.310347376508506	0.757960589874958	0.967660453732212	-6.07223680274357
TC1000011183.hg.1	NR_120611	NUTM2B-AS1	NUTM2B antisense RNA 1	-0.242646376744589	5.19254070934133	-0.959230078891872	0.343392433246598	0.849409875213786	-5.67519015648844
TC1000011199.hg.1	NR_027428	TMEM254-AS1	TMEM254 antisense RNA 1	0.00689253502352338	2.40357247079824	0.0461197319583888	0.96345178106236	0.995507758977898	-6.11819373244085
TC1000011225.hg.1	NR_120661	LOC101929574	uncharacterized LOC101929574	-0.0701418283194872	4.4536143296835	-0.742574682344027	0.462219007474765	0.89647007708652	-5.85181426764448
TC1000011240.hg.1	NR_120666	NRG3-AS1	NRG3 antisense RNA 1	0.0940471074697617	1.52186319406844	0.522775324569749	0.604108238468167	0.935936428857319	-5.98619950408272
TC1000011278.hg.1	NR_120667	LINC01519	long intergenic non-protein coding RNA 1519	-0.326231578409349	1.74380517867066	-2.14156621188209	0.0385765656279417	0.466513169881354	-4.00733146915918
TC1000011282.hg.1	NR_120669	LOC101929646	uncharacterized LOC101929646	0.175027853382613	1.62356139228062	1.29270717334905	0.203770432152412	0.758306168231452	-5.32071236749751
TC1000011291.hg.1	NR_029907	MIR346	microRNA 346	0.0503408619560028	4.7937769988067	0.425455904096034	0.672858945892568	0.950171261145663	-6.03101049150059
TC1000011329.hg.1	NR_024397	NUTM2A-AS1	NUTM2A antisense RNA 1	-0.10945756873607	6.66874083549525	-0.639781083534478	0.526081201049162	0.915283667960294	-5.92034871436732
TC1000011339.hg.1	NR_046091	LINC00864	long intergenic non-protein coding RNA 864	-0.116400269975655	2.68226097527813	-0.824240549533677	0.414849670074471	0.879827537060264	-5.79032254099249
TC1000011371.hg.1	NR_028371	FAS-AS1	FAS antisense RNA 1	-0.195676700211037	1.76119073873978	-1.7254747832882	0.0924129474102822	0.620641579381364	-4.72032998023855
TC1000011373.hg.1	NR_039827	MIR4679-2	microRNA 4679-2	0.0805913020286345	0.860505443616192	0.912809525889318	0.366989475999841	0.86057954449088	-5.71666363658307
TC1000011383.hg.1	NR_029524	MIR107	microRNA 107	-0.0645022023525352	2.05681369458905	-0.428897147898311	0.670374096364905	0.949789579743333	-6.0295811193294
TC1000011385.hg.1	NR_026835	FLJ37201	tigger transposable element derived 2 pseudogene	0.0786885478873689	1.55582306171052	0.677999429347822	0.501802388208169	0.908602463288472	-5.89602834375494
TC1000011391.hg.1	NR_110655	LINC01375	long intergenic non-protein coding RNA 1375	0.185900314298545	0.855534414929389	1.91513491329736	0.0628804663065614	0.548717332261562	-4.4108823992822
TC1000011395.hg.1	NR_110657	LOC101926942	uncharacterized LOC101926942	0.0458788349750519	1.12679284520721	0.392268743448128	0.697009859089584	0.955453669815489	-6.04420962943973
TC1000011407.hg.1	NR_002779	NUDT9P1	nudix hydrolase 9 pseudogene 1	-0.111012138718759	1.4059625838092	-0.997762653356463	0.324587033904748	0.840068214353336	-5.63927892101197
TC1000011408.hg.1	NR_024467	HECTD2-AS1	HECTD2 antisense RNA 1	-0.349218326976086	1.74993023195913	-2.12738598534722	0.0398106713241316	0.471236378551106	-4.03364768866566
TC1000011414.hg.1	NR_108070	TNKS2-AS1	TNKS2 antisense RNA 1 (head to head)	-0.189987047488455	0.896253870628049	-1.66128057975953	0.104731318537512	0.641457943340267	-4.81888095952402
TC1000011460.hg.1	NR_002319	PIPSL	PIP5K1A and PSMD4-like, pseudogene	-0.0982875387982785	2.07678301370608	-0.637790288304878	0.527362780344694	0.915570038866958	-5.92157777806957
TC1000011462.hg.1	NR_120615	PLCE1-AS2	PLCE1 antisense RNA 2	0.0843022360855779	1.35640792629764	0.791591370805261	0.433419919729722	0.885927024742425	-5.81565000278405
TC1000011467.hg.1	NR_033969	PLCE1-AS1	PLCE1 antisense RNA 1	0.422443249278246	2.48242617340404	2.10762700827532	0.0415882836902034	0.478443128168443	-4.0700895411344
TC1000011505.hg.1	NR_038444	ENTPD1-AS1	ENTPD1 antisense RNA 1	-0.261722987055645	1.4141412388082	-1.3145960596318	0.196376654148763	0.752424819194973	-5.29405650215806
TC1000011510.hg.1	NR_036113	MIR3157	microRNA 3157	-0.0402565649180406	1.88568153883355	-0.254977315975013	0.800089597268798	0.974339353061996	-6.08749690226494
