PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC2000008044.hg.1	NR_003244	HAR1A	highly accelerated region 1A (non-protein coding)	-0.0696884903328652	2.6305983690197	-0.564576021706389	0.575617305194442	0.8805877236554	-6.09505063495431
TC2000008046.hg.1	NR_029670	MIR124-3	microRNA 124-3	0.0827180112455093	2.23884260765456	0.599440068150283	0.552369877178309	0.872151384487891	-6.07517334444525
TC2000008053.hg.1	NR_036163	MIR3196	microRNA 3196	0.00652528346962811	4.14265243924423	0.0508473092721463	0.959708503952135	0.992788329885022	-6.25064379394512
TC2000008054.hg.1	NR_024389	FLJ16779	uncharacterized LOC100192386	0.0954137989428192	1.60481634963864	0.715518233721246	0.478580086442729	0.839838785394165	-6.00060206693583
TC2000008061.hg.1	NR_110634	LOC100130587	uncharacterized LOC100130587	-0.132473136555103	3.85683377329463	-1.24431267543021	0.220861532751446	0.66540458652122	-5.50211337806092
TC2000008092.hg.1	NR_110081	ZBTB46-AS1	ZBTB46 antisense RNA 1	-0.157594604024076	6.99992527662419	-1.69035436769575	0.098993703869043	0.49846595750428	-4.89117529723306
TC2000008099.hg.1	NR_027287	UCKL1-AS1	UCKL1 antisense RNA 1	0.128654642926651	3.02490319992199	0.941332794962604	0.352368358025714	0.769962360997523	-5.81908002636013
TC2000008106.hg.1	NR_027686	LINC00176	long intergenic non-protein coding RNA 176	-0.0768651346686893	2.41068616945776	-0.531870753064535	0.597853058552001	0.888305950300527	-6.11263255456407
TC2000008123.hg.1	NR_109990	NRSN2-AS1	NRSN2 antisense RNA 1	0.0700503520020668	4.62266981472093	0.406062705270776	0.686931165465979	0.919007399106606	-6.17060610434508
TC2000008169.hg.1	NR_037142	LOC100289473	cytoskeleton associated protein 2-like pseudogene	-0.053107251914271	2.19180888305368	-0.332881088817049	0.74101909199641	0.937352603826832	-6.19723528801758
TC2000008185.hg.1	NR_003684	SNORD119	small nucleolar RNA, C/D box 119	-0.158627455277507	1.32250879179613	-1.00497425027136	0.321146326814095	0.749125248571559	-5.75937551288921
TC2000008239.hg.1	NR_031722	MIR103B2	microRNA 103b-2	0.0840732499494632	1.44278144401489	0.49009070173198	0.626834308148012	0.899492450810813	-6.13358900640836
TC2000008264.hg.1	NR_024267	PRNT	prion protein (testis specific)	-0.078220843908694	1.75675758222037	-0.557162419707815	0.580621987357535	0.882275492081505	-6.09912653049999
TC2000008312.hg.1	NR_110101	MCM8-AS1	MCM8 antisense RNA 1	-0.090353693009539	1.30582772986264	-0.882335803653306	0.383038288468192	0.788634246065581	-5.87109722766626
TC2000008330.hg.1	NR_110609	LINC01428	long intergenic non-protein coding RNA 1428	0.0217685370961986	0.941550020710721	0.180561970801517	0.857652823717113	0.970126944077581	-6.23581489541005
TC2000008366.hg.1	NR_109957	LAMP5-AS1	LAMP5 antisense RNA 1	-0.171104262529091	1.77468876228919	-1.22984084272803	0.226174442991651	0.671213490179598	-5.51911306667224
TC2000008371.hg.1	NR_040710	SNAP25-AS1	SNAP25 antisense RNA 1	-0.126749072093637	2.28772639575729	-0.604626032165936	0.54895318078149	0.870879976108671	-6.07211680155274
TC2000008382.hg.1	NR_106930	MIR6870	microRNA 6870	0.0083548806393563	2.02744734419658	0.0567414761231171	0.955042828268458	0.991468031417614	-6.25033039384161
TC2000008387.hg.1	NR_109866	LOC101929413	uncharacterized LOC101929413	-0.0739004207293013	1.2614511397813	-0.582836393094164	0.563381403700589	0.875705242604812	-6.08478554782242
TC2000008394.hg.1	NR_038972	LOC339593	uncharacterized LOC339593	-0.134220966008765	1.42617589344508	-1.17244500350164	0.248178951731832	0.693328402863992	-5.58472296605587
TC2000008401.hg.1	NR_110635	LINC00687	long intergenic non-protein coding RNA 687	-0.0589014659431473	1.18566225880941	-0.623994653610751	0.536289009149095	0.86618696567043	-6.06047301406196
TC2000008418.hg.1	NR_109868	LOC101929486	uncharacterized LOC101929486	-0.105748296176682	1.83270609240926	-0.957060363282795	0.344472446267506	0.764104191466951	-5.80467092183254
TC2000008419.hg.1	NR_109872	LOC102606466	uncharacterized LOC102606466	-0.0283714530856165	2.4446527621124	-0.207783579995482	0.836486591057649	0.964430715884634	-6.23059531602345
