Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	15/103	0.024308499570358837	0.2011426866118746	0	0	1.873869801084991	6.965041405452068	DCTN6;CLTC;HLA-A;KIF15;CENPE;MFSD6;RACGAP1;KIF2A;KIF3A;AP1G1;CTSL;CANX;CAPZA2;AP2M1;SEC31A
protein modification by small protein conjugation (GO:0032446)	46/409	0.02453906944361438	0.20267453651577805	0	0	1.398220534584171	5.183886916533344	TRIM72;NUP205;UBA6;DCUN1D1;UBR3;WDR61;FBXO45;RNF6;RTF1;HIF1A;CDC73;ZNRF3;CAND1;CDC27;UBC;BTRC;RNF111;FBXO9;SKP1;ARRDC4;SHPRH;NUP210;NUP133;USP9X;FBXW7;BCL11A;SMURF1;UBE2E1;HUWE1;KLHL21;WWP1;NUP153;HLA-A;FBXO11;PEX13;PJA2;MIB1;ITCH;NEDD4;KLHL8;MDM2;SDE2;WAC;UBE2V2;TRIM33;NUP58
coenzyme A metabolic process (GO:0015936)	4/14	0.02476705844123498	0.20305345707336034	0	0	4.387065868263473	16.22442597501776	NUDT7;PANK3;PANK1;CROT
mRNA cleavage involved in mRNA processing (GO:0098787)	4/14	0.02476705844123498	0.20305345707336034	0	0	4.387065868263473	16.22442597501776	NUDT21;CPSF6;FIP1L1;NCBP2
negative regulation of pri-miRNA transcription by RNA polymerase II (GO:1902894)	4/14	0.02476705844123498	0.20305345707336034	0	0	4.387065868263473	16.22442597501776	REST;NFIB;SOX9;PPARD
vascular endothelial growth factor signaling pathway (GO:0038084)	4/14	0.02476705844123498	0.20305345707336034	0	0	4.387065868263473	16.22442597501776	FOXC1;PIK3CA;VEGFC;VEGFA
import into nucleus (GO:0051170)	12/77	0.025789156972026057	0.21076815299592325	0	0	2.0284365454040545	7.4196175240100075	NUP133;STAT3;GEMIN4;SNRPE;E2F3;NUP153;TNPO1;IPO7;IPO5;APPL1;HTATIP2;SNRPB
cytosolic calcium ion transport (GO:0060401)	6/28	0.025897073507122406	0.21076815299592325	0	0	2.9928057553956835	10.934590851828107	MCUR1;CACNA2D1;ATP2A2;ATP2B1;JPH1;SLC8A1
internal peptidyl-lysine acetylation (GO:0018393)	6/28	0.025897073507122406	0.21076815299592325	0	0	2.9928057553956835	10.934590851828107	PHF20L1;MORF4L1;KAT5;KAT6B;MORF4L2;EP300
positive regulation of protein import into nucleus (GO:0042307)	6/28	0.025897073507122406	0.21076815299592325	0	0	2.9928057553956835	10.934590851828107	SMAD3;TGFB1;UBR5;FLNA;IPO5;RBM22
extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)	5/21	0.02676432535323752	0.21507908301880962	0	0	3.4283253445176753	12.412887595944854	GSK3B;MOAP1;CASP3;APPL1;MCL1
histone ubiquitination (GO:0016574)	5/21	0.02676432535323752	0.21507908301880962	0	0	3.4283253445176753	12.412887595944854	USP22;HUWE1;UBE2E1;WAC;CDC73
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	5/21	0.02676432535323752	0.21507908301880962	0	0	3.4283253445176753	12.412887595944854	DYRK2;DDIT4;EP300;HIPK1;USP28
myotube differentiation (GO:0014902)	5/21	0.02676432535323752	0.21507908301880962	0	0	3.4283253445176753	12.412887595944854	SKI;ADAMTS5;MYEF2;SIX4;SORT1
negative regulation of protein localization to cell periphery (GO:1904376)	5/21	0.02676432535323752	0.21507908301880962	0	0	3.4283253445176753	12.412887595944854	TMEM59;TGFB1;CLTC;PPP2R5A;AP2M1
negative regulation of protein localization to plasma membrane (GO:1903077)	5/21	0.02676432535323752	0.21507908301880962	0	0	3.4283253445176753	12.412887595944854	TMEM59;TGFB1;CLTC;PPP2R5A;AP2M1
neurotrophin signaling pathway (GO:0038179)	5/21	0.02676432535323752	0.21507908301880962	0	0	3.4283253445176753	12.412887595944854	RAP1A;SORT1;CASP3;DDIT4;FRS2
cellular response to decreased oxygen levels (GO:0036294)	11/69	0.02751078247832104	0.21963393452505015	0	0	2.0833557965455034	7.485866674795036	MYC;GATA6;PGK1;UBQLN1;MDM2;PMAIP1;RORA;HYOU1;HIF1A;CPEB2;VEGFA
negative regulation of cellular catabolic process (GO:0031330)	11/69	0.02751078247832104	0.21963393452505015	0	0	2.0833557965455034	7.485866674795036	IL10;STAT3;FOXK2;MTMR9;TAB3;FOXK1;TAB2;MAGEA6;MAGEA3;EIF4G2;MCL1
negative regulation of cellular protein localization (GO:1903828)	7/36	0.027577355007629614	0.21963393452505015	0	0	2.6493804687338396	9.51329024320001	LATS1;GSK3B;LEPROT;LATS2;ROCK2;LEPROTL1;GOPC
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	7/36	0.027577355007629614	0.21963393452505015	0	0	2.6493804687338396	9.51329024320001	CCT6A;CCT2;TNKS2;XRCC5;HNRNPA2B1;MAP2K7;MAP3K4
regulation of microtubule-based process (GO:0032886)	7/36	0.027577355007629614	0.21963393452505015	0	0	2.6493804687338396	9.51329024320001	GSK3B;PRKAA1;PRKAA2;APC;TAOK1;EFNA5;KLHL42
Ras protein signal transduction (GO:0007265)	19/142	0.02792606759947201	0.22201472637013397	0	0	1.699000319308329	6.079353944304822	RB1;FARP2;NCKAP1;JUN;CDKN1A;ROCK2;RHOH;ARHGAP5;MAPK14;USP28;CRKL;RHOB;RAP2C;RIT1;RAP1A;G3BP1;CDK2;G3BP2;NF1
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	22/171	0.028503548329191775	0.22620253656262512	0	0	1.6246079594390366	5.779911108932969	CHUK;SLC20A1;IFIT5;TNFRSF10B;DDX21;MALT1;MTDH;PPM1A;TBK1;SHARPIN;CASP8;CASP10;MIER1;TIFA;PELI1;TAB3;TERF2IP;FLNA;TAB2;PIM2;MAP3K7;TMED4
nitrogen compound transport (GO:0071705)	19/143	0.02977193674213461	0.23551760857369078	0	0	1.6852061202611832	5.92213289351772	SCARB2;ARRDC4;SLC36A1;EDN1;TMEM30A;SLC6A15;SLC16A10;SLC1A5;SCAMP2;SLC7A6;TCN2;KIF3A;CHMP1B;ARL6IP5;FLVCR1;TXNIP;SLC25A45;SLC38A2;SLC19A2
ncRNA processing (GO:0034470)	25/201	0.029782944223220087	0.23551760857369078	0	0	1.56344754396604	5.4936722965230596	RPL5;RPL30;RPL31;WDR3;FCF1;NOLC1;RPL8;THG1L;EXOSC10;RPL15;WDR36;SMAD3;IMP3;RPS6;DICER1;RRP1B;WDR12;LIN28B;HNRNPA2B1;MRTO4;RPL37A;INTS5;SBDS;RPL27;INTS8
carbohydrate homeostasis (GO:0033500)	11/70	0.030260784249510685	0.23837533856017273	0	0	2.047932570298725	7.163468772700648	TCF7L2;STK11;PRKAA1;IL6;PRKAA2;RPS6;STAT3;ADIPOR1;ADIPOR2;SOX4;IGF1R
DNA-templated transcription, termination (GO:0006353)	11/70	0.030260784249510685	0.23837533856017273	0	0	2.047932570298725	7.163468772700648	SETX;SLBP;NUDT21;TAF1D;FIP1L1;NCBP2;CSTF3;PAPOLA;CSTF1;SNRPE;SNRPB
beta-catenin-TCF complex assembly (GO:1904837)	6/29	0.030411562251286613	0.23837533856017273	0	0	2.862527369408821	9.998614610715206	TCF7L2;PYGO2;KAT5;MYC;EP300;CDC73
negative regulation of transferase activity (GO:0051348)	6/29	0.030411562251286613	0.23837533856017273	0	0	2.862527369408821	9.998614610715206	EIF4A2;GSK3B;CDKN1B;ERCC4;FBXO5;SMAD7
regulation of ubiquitin-protein transferase activity (GO:0051438)	6/29	0.030411562251286613	0.23837533856017273	0	0	2.862527369408821	9.998614610715206	ARRDC4;FBXW7;FEM1B;DCUN1D1;FBXO5;SMAD7
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	9/53	0.030524889472203987	0.23884387201057858	0	0	2.245945945945946	7.83658352212266	USP47;ARL6IP1;SIAH2;XIAP;RAF1;FNIP1;THBS1;MAGEA3;VEGFA
cellular response to peptide hormone stimulus (GO:0071375)	15/106	0.03059599777360949	0.23898099837180092	0	0	1.8117957991375713	6.31752553422254	C2CD5;PARP1;INSIG2;SYAP1;DENND4C;MYO5A;SLC39A14;RAB10;PRKAR1A;PRKAR2B;RAB12;RAB13;PRKACB;CPEB2;RAB8B
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	12/79	0.030855171852962035	0.24016416485900643	0	0	1.967670671911202	6.844445814750772	GSK3B;HECTD1;FBXW7;CSNK1A1;SMURF1;RNF217;MDM2;CSNK1D;SOCS5;SMAD7;HSPA1A;TAF1
