F1_H1	F1_H2	F1_H3	F1_N1	F1_N2	F1_N3	F2_H1	F2_H2	F2_H3	F2_N1	F2_N2	F2_N3	F3_H1	F3_H2	F3_H3	F3_N1	F3_N2	F3_N3
LOC102606465	2.50473406224216	1.18382301091491	0.984188417011229	1.99616399710709	2.04111590565159	1.25247827982431	0.708176601280524	1.10537120468029	1.6193452152625	1.23318584044352	2.03926416213413	1.91660544405637	2.17807101295259	1.5828671940154	1.80309692821294	2.32669944107055	2.29648606757872	1.88010076241196
LINC01307	1.28668382789252	1.64655263164657	1.48290281464758	2.55216100850629	1.42980542643022	1.70992184618713	1.42419562936777	1.29567487751561	1.47300416773919	1.62651397243963	1.83108159676768	1.81877721561742	1.33723104405929	1.98302983622592	1.98352332451359	1.74768770019612	2.1889231805058	1.64623796278643
DNAJA1P5	1.02879877419747	0.877261320446352	1.70514368630365	1.31546316546932	1.07548511723414	1.10121700713912	0.963241693781029	0.871091218277208	1.15706330633274	1.50294401181196	1.10121700713912	1.38412044122072	1.34756609096924	1.28571763773516	1.48655313512773	1.24736937293896	1.40648867851911	1.60818414930958
SCARNA2	4.42047086601692	4.56466310875384	4.16875649092831	4.46590949472872	4.57572551652453	4.03683318902468	4.540539698283	4.7915131828442	4.51512416130011	4.28273255000949	4.7665397703508	5.114518126025	4.33695652828154	4.49635484694124	4.39085682038322	4.34161866686431	4.52449061274194	4.53267697738416
CHIAP2	3.09940313028126	2.84592592014349	2.84500642061203	2.608857462403	2.77226005815401	2.91628069932876	2.24339889735928	2.21545250316046	2.58584966922475	2.73744550648738	2.30982344959911	2.31282270524729	2.3408084697234	2.21965333732306	2.8405255267784	3.05547509988301	2.31257012501797	2.55326494929865
FAM212B-AS1	3.10552180874844	2.69452219205935	2.66064005003043	2.76375860761686	2.87345127933523	2.8241233948922	3.1971669211967	2.93264819090101	3.08795087854385	3.06808858925581	3.51687891369818	2.97792240481498	3.116924600689	2.81116549921628	3.16605560340871	2.89027475241422	2.74341564210644	3.48496103752504
KCND3-AS1	4.33462033645659	4.34836678231081	3.79198363865438	3.88450653375849	4.18363669766142	3.81409480554311	3.74464231334344	3.62831147392362	4.04505921309773	3.07233964143945	3.76248702033276	4.65190899250604	3.95809073737828	4.07715209621152	3.78993427238417	3.76945754233574	3.60039868337863	4.11072166050108
SLC16A1-AS1	4.41390342669766	4.46104132908469	4.02524196230033	4.77970248625434	4.84212684120913	4.4477852287784	3.76902155852094	5.13539299558711	4.07349047460838	4.59251996535267	4.84984054470833	4.59271530429753	5.06588903417006	4.82444451789257	4.70922851631691	4.29660716447349	4.87526322268404	4.51772226880751
LINC01525	1.27369466962261	1.45885437663341	1.29933819185396	1.3088690232529	1.42362681181584	1.34779153442783	0.955881461342327	1.15275700012827	1.44826287912082	1.61252877464877	1.5028940959921	1.47408702690441	1.10980134317466	0.885711196273235	1.06401146323379	1.26871340191307	1.15577906153132	1.01189695410904
LOC101929147	3.68336225009101	3.76873791591136	3.85480198728753	4.08127737350996	3.85065009058751	4.20846180810216	4.09031571829395	4.18355927312893	3.46096026288824	4.38088820951691	3.66478357971454	3.6029968887506	3.61202321353086	4.13198422169312	4.61175826968006	3.35600853096613	4.14014550111734	3.496570316213
EMBP1	4.2325982797873	4.1058308715434	4.1519370717116	4.54697075861061	4.71175316879146	4.85156237167693	3.64497409426114	3.07896598902013	3.30061491791283	3.83595978306595	4.11610536628005	4.03021121347547	4.55089390487792	4.05390985771604	4.82308676527433	4.26973031519687	4.79066254004359	4.1659983285507
LOC388692	3.70941037934514	3.83440128056639	3.22454888283167	3.32588697998168	3.26982680482975	4.13049469358568	3.72407993927594	2.9873807831117	4.31885901240741	4.09272370901649	4.00470219680886	4.31228078117266	3.27633400792895	2.94980722621691	3.19012366436492	3.15602464066272	2.91309510477195	2.96771828418048
RNVU1-15	6.21634144141629	6.36435551036258	6.02777521056684	6.13211332913611	6.73984826942921	6.37738643395662	4.8019268975468	4.68545144171987	3.74739884588287	5.05052169328779	4.71176680382805	5.20078659803347	5.67913071403723	5.70755037334719	6.24555210911576	5.99300801582458	6.19386025556204	6.35494283223229
LOC645166	6.16549619755199	6.23494906197651	6.05376401833713	5.86893733616871	6.1999116859093	6.00631530906356	6.65995247907831	6.52715188778659	6.6552553417904	6.40158351672687	6.67579188899765	6.32637389960035	6.28537119784515	6.19473419387245	6.29236843648127	6.03227393502528	6.20945041533691	6.18819422575757
RNVU1-14	6.51697875812061	6.39842067104679	6.17679454890765	6.88894717245851	7.3905401277955	6.71623568096975	4.89171018506264	4.63907069218127	4.71615706409444	5.35029815210849	5.00695545047096	5.45643522953989	6.10273188494378	6.12032543283064	6.44441918443606	7.244865306892	7.09194403955911	6.93638788032957
